"Image type","Feature Class","Feature Name","INTAE_BAEK..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.23.19.18.55_segment_INTAE_BAEK..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.23.19.18.55"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1"
"diagnostics","Versions","Python","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","e8198059b3449599be5392cefac12e4b617fd88e"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.6621093750000001, 0.6621093750000001, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 197)"
"diagnostics","Image-original","Mean","-441.12559174281085"
"diagnostics","Image-original","Minimum","-1024.0"
"diagnostics","Image-original","Maximum","1510.0"
"diagnostics","Mask-original","Hash","e2939ff118474fcb623f736d85ee5a781710b902"
"diagnostics","Mask-original","Spacing","(0.6621093750000001, 0.6621093750000001, 1.0)"
"diagnostics","Mask-original","Size","(512, 512, 197)"
"diagnostics","Mask-original","BoundingBox","(123, 280, 83, 23, 23, 18)"
"diagnostics","Mask-original","VoxelNum","4239"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(133.96272705826846, 289.8577494692144, 90.21726822363765)"
"diagnostics","Mask-original","CenterOfMass","(-74.47096782665427, -143.75141197253183, 1197.3172682236373)"
"original","shape","Elongation","0.8172477687914531"
"original","shape","Flatness","0.734068650056362"
"original","shape","LeastAxisLength","12.160990392300969"
"original","shape","MajorAxisLength","16.56655735314026"
"original","shape","Maximum2DDiameterColumn","18.301904835605836"
"original","shape","Maximum2DDiameterRow","18.821752459085832"
"original","shape","Maximum2DDiameterSlice","16.552734375000004"
"original","shape","Maximum3DDiameter","19.873833484125207"
"original","shape","MeshVolume","1848.7587375640871"
"original","shape","MinorAxisLength","13.53898203340952"
"original","shape","Sphericity","0.796194326156353"
"original","shape","SurfaceArea","914.9243913956752"
"original","shape","SurfaceVolumeRatio","0.4948857700065147"
"original","shape","VoxelVolume","1858.330226898194"
"original","firstorder","10Percentile","83.80000000000001"
"original","firstorder","90Percentile","151.0"
"original","firstorder","Energy","60726448.0"
"original","firstorder","Entropy","2.162530340663193"
"original","firstorder","InterquartileRange","35.0"
"original","firstorder","Kurtosis","3.109964414888801"
"original","firstorder","Maximum","225.0"
"original","firstorder","MeanAbsoluteDeviation","20.794149029326476"
"original","firstorder","Mean","116.79924510497759"
"original","firstorder","Median","116.0"
"original","firstorder","Minimum","19.0"
"original","firstorder","Range","206.0"
"original","firstorder","RobustMeanAbsoluteDeviation","14.622177711270801"
"original","firstorder","RootMeanSquared","119.68982481279626"
"original","firstorder","Skewness","0.10637182428642"
"original","firstorder","TotalEnergy","26621796.152526867"
"original","firstorder","Uniformity","0.26105656475906636"
"original","firstorder","Variance","683.5905066252267"
"original","glcm","Autocorrelation","27.66225937179659"
"original","glcm","ClusterProminence","31.533772774686117"
"original","glcm","ClusterShade","0.6056652950848704"
"original","glcm","ClusterTendency","3.157755093996494"
"original","glcm","Contrast","1.5292956910986297"
"original","glcm","Correlation","0.3475831556128475"
"original","glcm","DifferenceAverage","0.9237733389301588"
"original","glcm","DifferenceEntropy","1.6575229974668813"
"original","glcm","DifferenceVariance","0.6582109138206308"
"original","glcm","Id","0.6262085997445368"
"original","glcm","Idm","0.5978948529122763"
"original","glcm","Idmn","0.9853852884886662"
"original","glcm","Idn","0.9204183031030418"
"original","glcm","Imc1","-0.05898746613772462"
"original","glcm","Imc2","0.42405911907707655"
"original","glcm","InverseVariance","0.509660762525914"
"original","glcm","JointAverage","5.220636706671213"
"original","glcm","JointEnergy","0.0744676339185397"
"original","glcm","JointEntropy","4.190732412480745"
"original","glcm","MCC","0.35680011671061673"
"original","glcm","MaximumProbability","0.14743456547638054"
"original","glcm","SumAverage","10.441273413342422"
"original","glcm","SumEntropy","2.8675765724111484"
"original","glcm","SumSquares","1.1717626962737813"
"original","glrlm","GrayLevelNonUniformity","732.345102236533"
"original","glrlm","GrayLevelNonUniformityNormalized","0.24314308569714813"
"original","glrlm","GrayLevelVariance","1.3280783662197986"
"original","glrlm","HighGrayLevelRunEmphasis","28.135828821531714"
"original","glrlm","LongRunEmphasis","2.6449524296775686"
"original","glrlm","LongRunHighGrayLevelEmphasis","74.13532954807873"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.11113707548775523"
"original","glrlm","LowGrayLevelRunEmphasis","0.0450741867921944"
"original","glrlm","RunEntropy","3.433341953062668"
"original","glrlm","RunLengthNonUniformity","1694.6975790814627"
"original","glrlm","RunLengthNonUniformityNormalized","0.5584206619112546"
"original","glrlm","RunPercentage","0.7108352840836918"
"original","glrlm","RunVariance","0.6320396657517076"
"original","glrlm","ShortRunEmphasis","0.7730715906404192"
"original","glrlm","ShortRunHighGrayLevelEmphasis","21.74931756025241"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.03579936518737203"
"original","glszm","GrayLevelNonUniformity","30.148936170212767"
"original","glszm","GrayLevelNonUniformityNormalized","0.2138222423419345"
"original","glszm","GrayLevelVariance","5.115235652130176"
"original","glszm","HighGrayLevelZoneEmphasis","28.51063829787234"
"original","glszm","LargeAreaEmphasis","31400.843971631206"
"original","glszm","LargeAreaHighGrayLevelEmphasis","849837.2056737589"
"original","glszm","LargeAreaLowGrayLevelEmphasis","1245.9084096852557"
"original","glszm","LowGrayLevelZoneEmphasis","0.09511760358201594"
"original","glszm","SizeZoneNonUniformity","32.148936170212764"
"original","glszm","SizeZoneNonUniformityNormalized","0.22800663950505506"
"original","glszm","SmallAreaEmphasis","0.48130676643432996"
"original","glszm","SmallAreaHighGrayLevelEmphasis","12.819851536927843"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.062157149341690796"
"original","glszm","ZoneEntropy","4.960798643020671"
"original","glszm","ZonePercentage","0.03326256192498231"
"original","glszm","ZoneVariance","30497.010110155425"
"original","gldm","DependenceEntropy","5.8000365253631285"
"original","gldm","DependenceNonUniformity","326.54187308327437"
"original","gldm","DependenceNonUniformityNormalized","0.07703276081228458"
"original","gldm","DependenceVariance","13.253204316449315"
"original","gldm","GrayLevelNonUniformity","1106.6187780136825"
"original","gldm","GrayLevelVariance","1.1781382072055726"
"original","gldm","HighGrayLevelEmphasis","28.113234253361643"
"original","gldm","LargeDependenceEmphasis","85.81434300542581"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","2399.3234253361643"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","3.4053886363418875"
"original","gldm","LowGrayLevelEmphasis","0.043719011282354496"
"original","gldm","SmallDependenceEmphasis","0.04141693189649763"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","1.1419589144878068"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.003291135723447248"
"original","ngtdm","Busyness","7.953510292823246"
"original","ngtdm","Coarseness","0.0018574861475112597"
"original","ngtdm","Complexity","28.120429973269474"
"original","ngtdm","Contrast","0.016510047142878733"
"original","ngtdm","Strength","0.07125822105956064"
"wavelet-LLH","firstorder","10Percentile","-21.616667727891933"
"wavelet-LLH","firstorder","90Percentile","20.42271205384902"
"wavelet-LLH","firstorder","Energy","1189663.0111230928"
"wavelet-LLH","firstorder","Entropy","1.5889191428583873"
"wavelet-LLH","firstorder","InterquartileRange","22.099490149792906"
"wavelet-LLH","firstorder","Kurtosis","3.185079901172334"
"wavelet-LLH","firstorder","Maximum","59.817391577202876"
"wavelet-LLH","firstorder","MeanAbsoluteDeviation","13.225367698549595"
"wavelet-LLH","firstorder","Mean","-1.0231149172235994"
"wavelet-LLH","firstorder","Median","-1.0005715280009877"
"wavelet-LLH","firstorder","Minimum","-63.86169983521499"
"wavelet-LLH","firstorder","Range","123.67909141241788"
"wavelet-LLH","firstorder","RobustMeanAbsoluteDeviation","9.145543651039896"
"wavelet-LLH","firstorder","RootMeanSquared","16.752524860480367"
"wavelet-LLH","firstorder","Skewness","-0.025025740841243007"
"wavelet-LLH","firstorder","TotalEnergy","521534.96895323566"
"wavelet-LLH","firstorder","Uniformity","0.38478504318603"
"wavelet-LLH","firstorder","Variance","279.60032506716726"
"wavelet-LLH","glcm","Autocorrelation","12.042339706878172"
"wavelet-LLH","glcm","ClusterProminence","4.88660936671615"
"wavelet-LLH","glcm","ClusterShade","-0.021508548041805995"
"wavelet-LLH","glcm","ClusterTendency","1.2478858862071494"
"wavelet-LLH","glcm","Contrast","0.8478210928810035"
"wavelet-LLH","glcm","Correlation","0.19074648146367476"
"wavelet-LLH","glcm","DifferenceAverage","0.6484357633579823"
"wavelet-LLH","glcm","DifferenceEntropy","1.3493694255370723"
"wavelet-LLH","glcm","DifferenceVariance","0.41706639041594773"
"wavelet-LLH","glcm","Id","0.7073167366367917"
"wavelet-LLH","glcm","Idm","0.6956942362190828"
