"Image type","Feature Class","Feature Name","YONGJIN_KIM..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.03.08.18.02.21_segment_YONGJIN_KIM..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.03.08.18.02.21"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1"
"diagnostics","Versions","Python","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","78de195fd8d268309c8106b2cdaec471fe37f695"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.69140625, 0.69140625, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 237)"
"diagnostics","Image-original","Mean","-419.1416182055252"
"diagnostics","Image-original","Minimum","-1024.0"
"diagnostics","Image-original","Maximum","3071.0"
"diagnostics","Mask-original","Hash","925a081f8daeb913804139cfbea8abdad3f4cccd"
"diagnostics","Mask-original","Spacing","(0.69140625, 0.69140625, 1.0)"
"diagnostics","Mask-original","Size","(512, 512, 237)"
"diagnostics","Mask-original","BoundingBox","(156, 244, 142, 62, 63, 37)"
"diagnostics","Mask-original","VoxelNum","34247"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(183.12152889304173, 274.1874616754752, 164.57561246240547)"
"diagnostics","Mask-original","CenterOfMass","(-66.04292728879537, -149.57937220094095, -53.72438753759454)"
"original","shape","Elongation","0.7955917724000445"
"original","shape","Flatness","0.5318163000159419"
"original","shape","LeastAxisLength","23.826630737716613"
"original","shape","MajorAxisLength","44.80237017369038"
"original","shape","Maximum2DDiameterColumn","44.256025173530396"
"original","shape","Maximum2DDiameterRow","43.473593929425995"
"original","shape","Maximum2DDiameterSlice","49.85801373102548"
"original","shape","Maximum3DDiameter","50.72442283095199"
"original","shape","MeshVolume","16338.500232696533"
"original","shape","MinorAxisLength","35.64439709420922"
"original","shape","Sphericity","0.5748623706447072"
"original","shape","SurfaceArea","5416.619997040871"
"original","shape","SurfaceVolumeRatio","0.33152492088601593"
"original","shape","VoxelVolume","16371.525009155273"
"original","firstorder","10Percentile","53.0"
"original","firstorder","90Percentile","98.0"
"original","firstorder","Energy","207491063.0"
"original","firstorder","Entropy","1.643625564566869"
"original","firstorder","InterquartileRange","24.0"
"original","firstorder","Kurtosis","3.2075311993616586"
"original","firstorder","Maximum","144.0"
"original","firstorder","MeanAbsoluteDeviation","13.933049001372341"
"original","firstorder","Mean","75.8238969836774"
"original","firstorder","Median","76.0"
"original","firstorder","Minimum","-8.0"
"original","firstorder","Range","152.0"
"original","firstorder","RobustMeanAbsoluteDeviation","9.899794833901115"
"original","firstorder","RootMeanSquared","77.83741974248304"
"original","firstorder","Skewness","-0.17415671192111354"
"original","firstorder","TotalEnergy","99189567.76011658"
"original","firstorder","Uniformity","0.37321191896462463"
"original","firstorder","Variance","309.4005583761661"
"original","glcm","Autocorrelation","20.948201648564332"
"original","glcm","ClusterProminence","8.073902981043059"
"original","glcm","ClusterShade","-0.3289406262052318"
"original","glcm","ClusterTendency","1.6042399549583453"
"original","glcm","Contrast","0.6438462300417945"
"original","glcm","Correlation","0.4270741562094486"
"original","glcm","DifferenceAverage","0.5433674118234676"
"original","glcm","DifferenceEntropy","1.2219329950693085"
"original","glcm","DifferenceVariance","0.34381463155317005"
"original","glcm","Id","0.7446354765003977"
"original","glcm","Idm","0.7383606499973803"
"original","glcm","Idmn","0.9873700572572047"
"original","glcm","Idn","0.9334602789353261"
"original","glcm","Imc1","-0.09872626602930584"
"original","glcm","Imc2","0.5020216684715909"
"original","glcm","InverseVariance","0.45945913518727244"
"original","glcm","JointAverage","4.550613627854337"
"original","glcm","JointEnergy","0.15945039283299556"
"original","glcm","JointEntropy","3.0988821969644365"
"original","glcm","MCC","0.43363910716521836"
"original","glcm","MaximumProbability","0.25930940653502266"
"original","glcm","SumAverage","9.101227255708672"
"original","glcm","SumEntropy","2.372564497796845"
"original","glcm","SumSquares","0.5620215462500349"
"original","glrlm","GrayLevelNonUniformity","6090.127661764374"
"original","glrlm","GrayLevelNonUniformityNormalized","0.3298657083313831"
"original","glrlm","GrayLevelVariance","0.7193716272672397"
"original","glrlm","HighGrayLevelRunEmphasis","21.484501864704892"
"original","glrlm","LongRunEmphasis","5.400615872432491"
"original","glrlm","LongRunHighGrayLevelEmphasis","114.4205781565601"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.27931862128220686"
"original","glrlm","LowGrayLevelRunEmphasis","0.05458614388340348"
"original","glrlm","RunEntropy","3.5974250485944848"
"original","glrlm","RunLengthNonUniformity","7137.871276368022"
"original","glrlm","RunLengthNonUniformityNormalized","0.3816264564264979"
"original","glrlm","RunPercentage","0.5390298083380689"
"original","glrlm","RunVariance","1.8452623519585991"
"original","glrlm","ShortRunEmphasis","0.6294781306247154"
"original","glrlm","ShortRunHighGrayLevelEmphasis","13.63204576869509"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.03524710661898713"
"original","glszm","GrayLevelNonUniformity","175.8131868131868"
"original","glszm","GrayLevelNonUniformityNormalized","0.3220021736505253"
"original","glszm","GrayLevelVariance","2.687467294610152"
"original","glszm","HighGrayLevelZoneEmphasis","24.243589743589745"
"original","glszm","LargeAreaEmphasis","776289.9688644689"
"original","glszm","LargeAreaHighGrayLevelEmphasis","16480960.13003663"
"original","glszm","LargeAreaLowGrayLevelEmphasis","38484.07673611631"
"original","glszm","LowGrayLevelZoneEmphasis","0.0775401705248644"
"original","glszm","SizeZoneNonUniformity","112.83882783882784"
"original","glszm","SizeZoneNonUniformityNormalized","0.20666451985133305"
"original","glszm","SmallAreaEmphasis","0.4606048570959985"
"original","glszm","SmallAreaHighGrayLevelEmphasis","10.971465925899201"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.03821396184622594"
"original","glszm","ZoneEntropy","5.061767715689848"
"original","glszm","ZonePercentage","0.015943002306771398"
"original","glszm","ZoneVariance","772355.7385346642"
"original","gldm","DependenceEntropy","5.771304090542771"
"original","gldm","DependenceNonUniformity","1847.6967617601542"
"original","gldm","DependenceNonUniformityNormalized","0.053952076437648676"
"original","gldm","DependenceVariance","25.47845136337502"
"original","gldm","GrayLevelNonUniformity","12781.3885887815"
"original","gldm","GrayLevelVariance","0.5735309853104182"
"original","gldm","HighGrayLevelEmphasis","21.332175081028996"
"original","gldm","LargeDependenceEmphasis","194.09451922796157"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","4100.183636522907"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","9.872383555353212"
"original","gldm","LowGrayLevelEmphasis","0.05313860733750484"
"original","gldm","SmallDependenceEmphasis","0.02016797667765753"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","0.46270449396669366"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0013655528182898273"
"original","ngtdm","Busyness","105.66679930017759"
"original","ngtdm","Coarseness","0.00022612032878067685"
"original","ngtdm","Complexity","9.23794930252799"
"original","ngtdm","Contrast","0.01137060089794085"
"original","ngtdm","Strength","0.004794387732237695"
"wavelet-LLH","firstorder","10Percentile","-30.7445542187019"
"wavelet-LLH","firstorder","90Percentile","13.351666856061122"
"wavelet-LLH","firstorder","Energy","66912627.618520565"
"wavelet-LLH","firstorder","Entropy","1.819033594651964"
"wavelet-LLH","firstorder","InterquartileRange","17.74236099888566"
"wavelet-LLH","firstorder","Kurtosis","13.71090583505305"
"wavelet-LLH","firstorder","Maximum","56.283673411660665"
"wavelet-LLH","firstorder","MeanAbsoluteDeviation","23.07103136391752"
"wavelet-LLH","firstorder","Mean","-12.546996732525418"
"wavelet-LLH","firstorder","Median","-2.2111291648895435"
"wavelet-LLH","firstorder","Minimum","-252.96671812851815"
"wavelet-LLH","firstorder","Range","309.25039154017884"
"wavelet-LLH","firstorder","RobustMeanAbsoluteDeviation","7.73390915288933"
"wavelet-LLH","firstorder","RootMeanSquared","44.20208704390566"
"wavelet-LLH","firstorder","Skewness","-3.249295618834515"
"wavelet-LLH","firstorder","TotalEnergy","31987086.649484724"
"wavelet-LLH","firstorder","Uniformity","0.38281189399448773"
"wavelet-LLH","firstorder","Variance","1796.3973720310087"
"wavelet-LLH","glcm","Autocorrelation","124.74829413549197"
"wavelet-LLH","glcm","ClusterProminence","895.3695154266078"
"wavelet-LLH","glcm","ClusterShade","-70.32697608604921"
"wavelet-LLH","glcm","ClusterTendency","7.606263878230554"
"wavelet-LLH","glcm","Contrast","1.5811012488292229"
"wavelet-LLH","glcm","Correlation","0.6242464695407242"
"wavelet-LLH","glcm","DifferenceAverage","0.70544915638249"
"wavelet-LLH","glcm","DifferenceEntropy","1.482867549507584"
"wavelet-LLH","glcm","DifferenceVariance","1.0450012199848646"
"wavelet-LLH","glcm","Id","0.726573799772565"
"wavelet-LLH","glcm","Idm","0.7149600214210423"
"wavelet-LLH","glcm","Idmn","0.9926156613630256"
