"Image type","Feature Class","Feature Name","INTAE_BAEK..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.23.19.23.41_segment_INTAE_BAEK..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.23.19.23.41"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1"
"diagnostics","Versions","Python","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","3d2657e34a966fb271d61435982df8ad3b8ddb4b"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.6621093750000001, 0.6621093750000001, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 197)"
"diagnostics","Image-original","Mean","-446.3933818061945"
"diagnostics","Image-original","Minimum","-1024.0"
"diagnostics","Image-original","Maximum","3071.0"
"diagnostics","Mask-original","Hash","c8ce2a5f1f85a1fe58ad09ed7184e735b729df4e"
"diagnostics","Mask-original","Spacing","(0.6621093750000001, 0.6621093750000001, 1.0)"
"diagnostics","Mask-original","Size","(512, 512, 197)"
"diagnostics","Mask-original","BoundingBox","(127, 269, 87, 23, 26, 18)"
"diagnostics","Mask-original","VoxelNum","2811"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(137.3027392387051, 283.05087157595165, 94.62290999644254)"
"diagnostics","Mask-original","CenterOfMass","(-72.25951444937297, -148.25830964014136, 1201.7229099964422)"
"original","shape","Elongation","0.8735321293320263"
"original","shape","Flatness","0.7067741296297118"
"original","shape","LeastAxisLength","10.886758442417369"
"original","shape","MajorAxisLength","15.403447842836416"
"original","shape","Maximum2DDiameterColumn","16.674682838363367"
"original","shape","Maximum2DDiameterRow","18.36375612619869"
"original","shape","Maximum2DDiameterSlice","18.072068897191976"
"original","shape","Maximum3DDiameter","18.692451152872895"
"original","shape","MeshVolume","1219.689040660859"
"original","shape","MinorAxisLength","13.455406593207702"
"original","shape","Sphericity","0.6115729455787036"
"original","shape","SurfaceArea","902.6830211633014"
"original","shape","SurfaceVolumeRatio","0.7400927540303259"
"original","shape","VoxelVolume","1232.310985565186"
"original","firstorder","10Percentile","56.0"
"original","firstorder","90Percentile","114.0"
"original","firstorder","Energy","22004389.0"
"original","firstorder","Entropy","1.9803102335695426"
"original","firstorder","InterquartileRange","30.0"
"original","firstorder","Kurtosis","2.9233831791811444"
"original","firstorder","Maximum","165.0"
"original","firstorder","MeanAbsoluteDeviation","18.06916467944135"
"original","firstorder","Mean","85.53717538242618"
"original","firstorder","Median","86.0"
"original","firstorder","Minimum","16.0"
"original","firstorder","Range","149.0"
"original","firstorder","RobustMeanAbsoluteDeviation","12.747842533609024"
"original","firstorder","RootMeanSquared","88.47574620375305"
"original","firstorder","Skewness","0.010912427589912505"
"original","firstorder","TotalEnergy","9646478.226734165"
"original","firstorder","Uniformity","0.2950406626607039"
"original","firstorder","Variance","511.3492939069855"
"original","glcm","Autocorrelation","15.538051976963235"
"original","glcm","ClusterProminence","17.584002664053603"
"original","glcm","ClusterShade","0.1991952417825152"
"original","glcm","ClusterTendency","2.4361822837833773"
"original","glcm","Contrast","1.3235887153747778"
"original","glcm","Correlation","0.29649114537190696"
"original","glcm","DifferenceAverage","0.8449598585641046"
"original","glcm","DifferenceEntropy","1.5842036213673585"
"original","glcm","DifferenceVariance","0.5957417536828311"
"original","glcm","Id","0.6481623912679688"
"original","glcm","Idm","0.6247961119784661"
"original","glcm","Idmn","0.9750690654139846"
"original","glcm","Idn","0.9007076064207779"
"original","glcm","Imc1","-0.04994772279860506"
"original","glcm","Imc2","0.3727965976889218"
"original","glcm","InverseVariance","0.5082655010231567"
"original","glcm","JointAverage","3.906384304254954"
"original","glcm","JointEnergy","0.09072953394540904"
"original","glcm","JointEntropy","3.9033739902641296"
"original","glcm","MCC","0.3093147132303198"
"original","glcm","MaximumProbability","0.17770066898563763"
"original","glcm","SumAverage","7.812768608509908"
"original","glcm","SumEntropy","2.6806768132482692"
"original","glcm","SumSquares","0.939942749789539"
"original","glrlm","GrayLevelNonUniformity","544.1264841726022"
"original","glrlm","GrayLevelNonUniformityNormalized","0.27461148109103656"
"original","glrlm","GrayLevelVariance","1.035757890515334"
"original","glrlm","HighGrayLevelRunEmphasis","16.517397800772546"
"original","glrlm","LongRunEmphasis","2.6856926895307853"
"original","glrlm","LongRunHighGrayLevelEmphasis","43.46582173848454"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.210177584748101"
"original","glrlm","LowGrayLevelRunEmphasis","0.08545756050977646"
"original","glrlm","RunEntropy","3.272771513164877"
"original","glrlm","RunLengthNonUniformity","1096.1329311359862"
"original","glrlm","RunLengthNonUniformityNormalized","0.5489767298903654"
"original","glrlm","RunPercentage","0.7050324275511042"
"original","glrlm","RunVariance","0.6383122488429316"
"original","glrlm","ShortRunEmphasis","0.766410748136257"
"original","glrlm","ShortRunHighGrayLevelEmphasis","12.779145437823795"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.06757233964870236"
"original","glszm","GrayLevelNonUniformity","23.623853211009173"
"original","glszm","GrayLevelNonUniformityNormalized","0.21673259826613922"
"original","glszm","GrayLevelVariance","3.763824593889403"
"original","glszm","HighGrayLevelZoneEmphasis","19.110091743119266"
"original","glszm","LargeAreaEmphasis","18660.963302752294"
"original","glszm","LargeAreaHighGrayLevelEmphasis","309235.55963302753"
"original","glszm","LargeAreaLowGrayLevelEmphasis","1232.445081497431"
"original","glszm","LowGrayLevelZoneEmphasis","0.1790285839106285"
"original","glszm","SizeZoneNonUniformity","21.073394495412845"
"original","glszm","SizeZoneNonUniformityNormalized","0.19333389445332885"
"original","glszm","SmallAreaEmphasis","0.42300622185977904"
"original","glszm","SmallAreaHighGrayLevelEmphasis","9.060483386556893"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.09327690908482483"
"original","glszm","ZoneEntropy","4.857481736387911"
"original","glszm","ZonePercentage","0.038776236214870155"
"original","glszm","ZoneVariance","17995.891254944872"
"original","gldm","DependenceEntropy","5.725355966674487"
"original","gldm","DependenceNonUniformity","201.8509427250089"
"original","gldm","DependenceNonUniformityNormalized","0.07180752142476303"
"original","gldm","DependenceVariance","15.465782960446212"
"original","gldm","GrayLevelNonUniformity","829.3593027392387"
"original","gldm","GrayLevelVariance","0.9122496225822198"
"original","gldm","HighGrayLevelEmphasis","16.359302739238704"
"original","gldm","LargeDependenceEmphasis","90.62006403415155"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","1446.1579509071505"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","6.596838047563387"
"original","gldm","LowGrayLevelEmphasis","0.08237304088005415"
"original","gldm","SmallDependenceEmphasis","0.04312009936207914"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","0.8184355528874334"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.006083655647992816"
"original","ngtdm","Busyness","12.002088356206949"
"original","ngtdm","Coarseness","0.0026572412144302486"
"original","ngtdm","Complexity","11.88105710635651"
"original","ngtdm","Contrast","0.02577862278303535"
"original","ngtdm","Strength","0.04126785720882038"
"wavelet-LLH","firstorder","10Percentile","-17.426635784561388"
"wavelet-LLH","firstorder","90Percentile","22.138633886175104"
"wavelet-LLH","firstorder","Energy","686320.0138914768"
"wavelet-LLH","firstorder","Entropy","1.5100054328239187"
"wavelet-LLH","firstorder","InterquartileRange","21.12747322360602"
"wavelet-LLH","firstorder","Kurtosis","3.0561109933611275"
"wavelet-LLH","firstorder","Maximum","59.62404641037726"
"wavelet-LLH","firstorder","MeanAbsoluteDeviation","12.361035120500672"
"wavelet-LLH","firstorder","Mean","2.249571492110768"
"wavelet-LLH","firstorder","Median","2.132320131121448"
"wavelet-LLH","firstorder","Minimum","-52.768280640386074"
"wavelet-LLH","firstorder","Range","112.39232705076333"
"wavelet-LLH","firstorder","RobustMeanAbsoluteDeviation","8.689033779324532"
"wavelet-LLH","firstorder","RootMeanSquared","15.625463509499065"
"wavelet-LLH","firstorder","Skewness","0.07431048009475277"
"wavelet-LLH","firstorder","TotalEnergy","300875.0240952394"
"wavelet-LLH","firstorder","Uniformity","0.4039442799866004"
"wavelet-LLH","firstorder","Variance","239.09453798856939"
"wavelet-LLH","glcm","Autocorrelation","12.949604133921772"
"wavelet-LLH","glcm","ClusterProminence","3.968689836273692"
"wavelet-LLH","glcm","ClusterShade","0.09359164326908687"
"wavelet-LLH","glcm","ClusterTendency","1.1339594965004511"
"wavelet-LLH","glcm","Contrast","0.7426000372955055"
"wavelet-LLH","glcm","Correlation","0.20762078497720443"
"wavelet-LLH","glcm","DifferenceAverage","0.5990016817136593"
"wavelet-LLH","glcm","DifferenceEntropy","1.2792864603163794"
"wavelet-LLH","glcm","DifferenceVariance","0.3741926850921804"
"wavelet-LLH","glcm","Id","0.7236618411015919"
"wavelet-LLH","glcm","Idm","0.7148589947013549"
